"...1","text","arousal"
146,"To me he seems now all sacred, his locks are inaccessible, and, Lucy, I feel a sort of fear, when I look at his firm, marble chin, at his straight Greek features.","H"
226,"When there, a fresh altercation arose between them, in the course of which Drebber received a blow from the stick, in the pit of the stomach, perhaps, which killed him without leaving any mark.","H"
67,"they smile when sordid souls triumph, and feeble ones weep over their destruction.","L"
153,"At first exciting, then it became boring and finally intolerable.","L"
230,"The risk of it was not so much deadly as particularly odious.","L"
81,"It smeared the window where the Jew boy from Birmingham sat mugging up Greek with a wet towel round his head; where Dr. Malone sat up late writing another chapter in his monumental history of the college.","L"
192,"It would be quite as deadly, and a good deal less noisy than firing across a handkerchief.","H"
142,"Sir Henry put his hand upon my shoulder with a pleasant smile.","L"
36,"The English would have been interested enough to send a boat  ashore to go through our pockets, and whether dead or only half dead we  wouldn't  have been in a state to prevent them.","H"
208,"There at the back of the house, squatting on his heels on scattered embers, in close proximity to the great iron boiler, where the family daily rice was being cooked by the women under Mrs. Almayer's superintendence, did that astute negotiator carry on long conversations in Sulu language with Almayer's wife.","L"
110,"It seemed to me that the mists in my own mind were gradually clearing away, and I began to have a dim, vague perception of the truth.","L"
93,"It was a dreadful moment; unhappy; muddled; altogether wrong.","L"
103,"Good-by, my wise, dear, grave little god-daughter.","L"
232,"His legacy was suspense - a worse boon than despair.","H"
101,"He was dashed; his feeling was out of all proportion to its object.","H"
220,"She turned her back on him contemptuously, and said curtly, ""Come  along, aunt,"" and went to the door leading to the passage.","H"
86,"The inhabitants got used to the sight of comings and goings between Almayer's house and the vessel, now moored to the opposite bank, and speculation as to the feverish activity displayed by Almayer's boatmen in repairing old canoes ceased to interfere with the due discharge of domestic duties by the women of the Settlement.","L"
88,"On the death of Sir Charles we inquired for this young gentleman and found that he had been farming in Canada.","L"
5,"""How can I love the man you're engaged to marry?""","H"
62,"Nor was I; but I was a good deal interested and excited.","H"
214,"While giving way to his bitter mirth, the  rover had caught sight of Arlette's face at the, open window of the  lieutenant's room.","H"
219,"I hope this delay will not have increased the difficulty of securing it.""","L"
182,"Her husband was in great spirits tonight, and wishing, she supposed, to make it all right with old Augustus after that scene about the soup, had drawn him in -  they were telling stories about some one they had both known at college.","L"
92,"That girl would have had a right to hate me, except that, when school was over and her companions departing, I ordered her to stay, and when they were gone, I did what I had never done to one among them before -  pressed her to my heart and kissed her cheek.","H"
102,"A ferocious beast would surely have destroyed them and left their remains.","H"
14,"Young Jefferson Hope rode on with his companions, gloomy and taciturn.","L"
124,"Almayer's elaborately calm demeanour gave way in a moment to an outburst of violent indignation.","H"
149,"They'll say that all their lives, she thought, and an exquisite scent of olives and oil and juice rose from the great brown dish as Marthe, with a little flourish, took the cover off.","L"
227,"I could comprehend the feeling, and share both its strength and truth.","H"
151,"At last, having collected enough to keep life in him, he departed for Europe, and tracked his enemies from city to city, working his way in any menial capacity, but never overtaking the fugitives.","L"
210,"Apparently she found there the confirmation of the words just said, for a feeling of grateful security lightened for her the weight of sorrow at the hour of parting.","L"
60,"""So am I, Joe,"" replied Shirley, who had rather a pleasure in teasing the overlooker, by persisting in talking on subjects with which he opined she, as a woman, had no right to meddle - ""partly, at least.","L"
189,"It may be the extreme of mortal misery, it may be sheer waste of time, and fruitless torture of feeling.","L"
168,"The greatest demonstration of all, however, was at the entrance of my new acquaintance, Professor Challenger, when he passed down to take his place at the extreme end of the front row of the platform.","L"
13,"When I reached him he was groping about frantically in the empty cab, and giving vent to the finest assorted collection of oaths that ever I listened to.","H"
150,"He had sworn a mighty oath to marry her to a white man before he went home and to leave her all his money.","H"
177,"There was the compact; to resist tyranny to the death.","H"
26,"""God grant me a little comfort before I die!""","L"
105,"He saw Satan, and Sin his daughter, and Death their horrible offspring.","L"
21,"Shirley showed she had been sincere in saying she should be glad of Caroline's society, by frequently seeking it; and, indeed, if she had not sought it, she would not have had it, for Miss Helstone was slow to make fresh acquaintance.","H"
29,"Because he's a priest, a mystery monger, he thought; feeling his coldness; this guardian of beautiful words.","L"
45,"Your pity, my darling, is the suffering mother of love: its anguish is the very natal pang of the divine passion.","L"
34,"You have sought for her the costliest flowers; you have busied your brain in devising gifts the most delicate: such, one would have thought, as only a woman could have imagined; and in addition, Miss Fanshawe owns a set of ornaments, to purchase which your generosity must have verged on extravagance.""","H"
82,"In more fertile spots the observer would have come to the conclusion that one of those great herds of bisons which graze upon the prairie land was approaching him.","H"
41,"Without hurry or flutter he opened a book; found his place; read out a passage, upon which old Curry nodded, and made a note in the great volume that lay open in front of him.","L"
191,"""Your nervous system bore a good share of the suffering?""","L"
2,"Chapter 8  First Report of Dr. Watson   From this point onward I will follow the course of events by transcribing my own letters to Mr. Sherlock Holmes which lie before me on the table.","L"
205,"There were eternal problems: suffering; death; the poor.","H"
